SalesKey,SalesID,DateKey,CustomerKey,CountryKey,AreaKey,IndustryKey,SalespersonKey,SalesAmountLC,AdjustedProfitLC,ItemProfitLC,ResourceProfitLC,DiscountAmountLC,ActualDeliveryDays,ExpectedDeliveryDays
23,SO-000023,20251103,37,8,2,3,9,30866.49,11994.83,7742.89,4251.94,73.04,10,6
24,SO-000024,20240226,12,15,5,10,4,86503.12,38067.15,24965.39,13101.76,5549.02,12,9
25,SO-000025,20270506,53,8,2,3,14,87765.32,20042.49,14352.79,5689.7,8632.16,2,3
26,SO-000026,20270326,45,11,3,4,7,34895.87,13467.31,9255.8,4211.51,3434.58,8,4
27,SO-000027,20260602,89,3,1,6,3,25844.89,9372.28,5626.54,3745.74,2392.14,9,6
28,SO-000028,20261104,14,6,2,7,10,94913.01,40454.89,29314.87,11140.02,6296.41,6,4
29,SO-000029,20270923,16,5,1,4,13,66855.84,16570.55,12252.96,4317.59,3706.57,10,6
30,SO-000030,20250810,30,8,2,2,7,67893.14,28572.26,20660.69,7911.57,2043.24,5,3
31,SO-000031,20261112,34,12,3,4,16,43273.87,14020.54,10248.19,3772.35,2012.18,11,10
32,SO-000032,20240710,36,6,2,9,8,79476.67,34806.78,26007.36,8799.42,5236.33,10,7
33,SO-000033,20270605,89,3,1,6,3,67443.17,14661.62,9380.89,5280.73,164.73,11,6
34,SO-000034,20260329,88,8,2,4,8,45813.91,19051.31,13624.24,5427.07,3291.02,14,9
35,SO-000035,20250324,67,9,3,9,6,15183.35,5409.63,4211.57,1198.06,1306.44,8,4
36,SO-000036,20240930,54,16,5,2,15,80508.93,28884.47,20014.34,8870.13,4487.61,9,4
37,SO-000037,20270127,12,15,5,10,15,66923.98,29872.71,21481.18,8391.53,6358.04,14,10
38,SO-000038,20261203,38,15,5,7,16,89772.21,33493.71,23275.95,10217.76,2326.82,8,6
39,SO-000039,20251016,74,1,1,2,18,62861.47,14607.7,8990.99,5616.71,1796.13,10,7
40,SO-000040,20260429,90,1,1,10,14,8517.48,1663.03,1125.22,537.81,130.15,5,6
41,SO-000041,20270325,15,11,3,5,13,33422.7,9685.14,5931.69,3753.45,2783.75,7,9
42,SO-000042,20260926,62,1,1,2,8,47959.48,20757.94,13694.48,7063.46,1870.36,10,9
43,SO-000043,20260815,4,4,1,9,5,27657.06,8177.99,5542.81,2635.18,1849.91,9,9
44,SO-000044,20270809,70,7,2,3,14,98081.84,30428.62,23776.49,6652.13,5805.39,2,3
45,SO-000045,20251031,82,6,2,5,11,14002.1,4039.74,2464.47,1575.27,530.83,11,6
46,SO-000046,20260821,93,3,1,1,1,76242.36,20108.0,15089.08,5018.92,6342.79,6,7
47,SO-000047,20240304,46,16,5,7,8,75027.91,12426.55,9821.75,2604.8,1682.29,2,4
48,SO-000048,20260810,67,9,3,9,9,20336.39,3174.8,2001.64,1173.16,256.69,5,4
49,SO-000049,20250929,28,2,1,4,4,76806.36,15387.14,11101.04,4286.1,5744.54,4,4
50,SO-000050,20250210,4,4,1,9,3,58079.13,24896.56,17805.01,7091.55,5273.74,13,9
51,SO-000051,20270305,66,15,5,1,2,59413.74,23716.27,15381.66,8334.61,4142.28,6,7
52,SO-000052,20260510,94,8,2,2,16,35046.77,9761.0,6580.03,3180.97,1773.23,6,8
53,SO-000053,20241226,28,2,1,4,17,11001.12,4821.09,3505.5,1315.59,911.67,9,5
54,SO-000054,20260611,62,1,1,2,19,96564.64,22308.82,16991.29,5317.53,5196.85,15,10
55,SO-000055,20260809,20,12,3,10,19,27205.36,11032.15,8452.24,2579.91,235.77,11,10
56,SO-000056,20250310,21,9,3,1,12,61228.0,16145.63,9780.05,6365.58,5210.21,10,5
57,SO-000057,20261124,89,3,1,6,7,79884.32,20138.97,15629.13,4509.84,5601.36,5,7
58,SO-000058,20260706,49,8,2,9,1,9018.49,3300.97,2303.14,997.83,683.75,15,10
59,SO-000059,20270207,86,15,5,9,17,9758.81,2112.58,1559.84,552.74,298.82,13,8
60,SO-000060,20250919,64,4,1,5,9,34703.86,15581.67,11064.2,4517.47,1220.92,12,10
61,SO-000061,20250319,86,15,5,9,16,23438.54,8587.54,5694.48,2893.06,1741.2,6,5
62,SO-000062,20250829,16,5,1,4,8,28011.71,9156.36,6885.96,2270.4,1671.71,5,4
63,SO-000063,20270207,8,7,2,4,10,36407.67,8762.61,6498.38,2264.23,460.86,1,3
64,SO-000064,20260819,84,7,2,5,16,69893.03,13131.77,10159.95,2971.82,3430.9,5,3
65,SO-000065,20240513,78,3,1,2,13,44326.65,9100.66,5553.91,3546.75,4171.42,9,10
66,SO-000066,20250523,2,9,3,4,4,49428.78,15970.75,11775.08,4195.67,749.97,6,7
67,SO-000067,20260625,99,5,1,10,10,56028.27,15399.49,11075.7,4323.79,3464.89,14,9
68,SO-000068,20270705,64,4,1,5,7,86086.58,38481.51,25439.2,13042.31,5346.21,5,4
69,SO-000069,20260416,85,13,4,6,15,26832.29,4678.38,3031.46,1646.92,1481.12,3,5
70,SO-000070,20240525,65,14,4,3,8,69092.43,20104.08,12193.69,7910.39,1990.59,12,7
71,SO-000071,20240823,64,4,1,5,18,92429.15,35709.85,25890.06,9819.79,6111.26,10,6
72,SO-000072,20250921,84,7,2,5,20,22868.54,4452.43,2908.0,1544.43,325.27,3,3
73,SO-000073,20250711,6,14,4,1,17,75021.29,24063.99,15827.42,8236.57,932.92,11,7
74,SO-000074,20240222,13,9,3,1,3,54228.17,15255.88,10978.24,4277.64,4823.18,10,8
75,SO-000075,20270326,90,1,1,10,2,23277.98,8200.59,6331.7,1868.89,1366.7,5,3
76,SO-000076,20270413,77,8,2,10,14,76429.35,15481.32,10895.64,4585.68,3379.93,7,7
77,SO-000077,20271004,16,5,1,4,4,63661.08,18940.3,11709.81,7230.49,2215.16,11,8
78,SO-000078,20260720,37,8,2,3,3,85844.44,21370.21,15786.92,5583.29,2474.19,7,9
79,SO-000079,20260426,48,9,3,3,2,31794.46,7852.66,6235.3,1617.36,1285.05,8,3
80,SO-000080,20250630,33,6,2,6,18,19164.46,4954.66,3722.38,1232.28,1198.56,4,3
81,SO-000081,20271224,54,16,5,2,6,13535.82,3199.99,2483.73,716.26,656.1,4,3
82,SO-000082,20240828,36,6,2,9,5,31419.64,4841.84,3300.19,1541.65,706.0,9,4
83,SO-000083,20250514,90,1,1,10,15,50088.36,18281.3,12829.35,5451.95,1369.54,15,10
84,SO-000084,20250719,96,3,1,9,14,55350.88,14672.18,11508.47,3163.71,2813.16,4,5
85,SO-000085,20241031,12,15,5,10,15,34317.59,13257.41,8662.85,4594.56,8.8,12,7
86,SO-000086,20250121,98,16,5,4,8,54088.77,13713.51,9741.85,3971.66,2939.35,13,10
87,SO-000087,20260301,29,10,3,2,5,57393.87,12630.6,9537.48,3093.12,250.51,14,10
88,SO-000088,20240723,93,3,1,1,17,49785.2,8020.69,5618.16,2402.53,2938.23,9,4
89,SO-000089,20260819,82,6,2,5,9,91088.95,14082.74,8855.66,5227.08,7933.24,4,5
90,SO-000090,20270707,41,2,1,4,16,34186.84,12232.44,8929.28,3303.16,2911.92,12,9
91,SO-000091,20240704,76,8,2,1,14,87302.11,14035.54,8613.39,5422.15,5510.17,8,7
92,SO-000092,20240229,98,16,5,4,2,97844.6,36996.11,27405.91,9590.2,983.41,7,5
93,SO-000093,20270305,64,4,1,5,6,32775.28,5468.09,3672.88,1795.21,1411.59,10,6
94,SO-000094,20270409,30,8,2,2,5,17413.37,3024.54,2341.5,683.04,1079.12,11,6
95,SO-000095,20271019,63,9,3,6,18,23602.75,8057.3,5574.96,2482.34,1573.93,12,10
96,SO-000096,20260724,51,14,4,10,10,16218.57,4582.05,3065.91,1516.14,952.96,11,9
97,SO-000097,20271203,43,13,4,5,10,20322.09,5393.64,3757.43,1636.21,482.05,10,8
98,SO-000098,20250809,87,15,5,2,8,2682.99,1070.54,727.07,343.47,2.17,8,3
99,SO-000099,20270709,100,16,5,4,2,60902.97,15572.66,11326.36,4246.3,3781.41,4,5
100,SO-000100,20251031,68,6,2,9,14,31238.82,8817.06,6312.26,2504.8,2287.81,6,4
101,SO-000101,20250610,72,1,1,10,16,17976.19,3409.15,2413.27,995.88,1746.37,7,7
102,SO-000102,20241015,62,1,1,2,8,96754.72,23080.11,17865.84,5214.27,7781.33,9,10
103,SO-000103,20260319,36,6,2,9,1,86083.99,31615.64,25165.68,6449.96,8326.64,7,8
104,SO-000104,20270731,21,9,3,1,12,26813.63,5016.2,3379.5,1636.7,2008.37,11,7
105,SO-000105,20270819,18,3,1,7,3,11280.44,2483.35,1502.44,980.91,997.46,9,8
106,SO-000106,20240402,5,3,1,10,2,63722.69,18433.72,13644.92,4788.8,4137.13,4,4
107,SO-000107,20260718,65,14,4,3,12,30784.28,9167.17,5678.5,3488.67,2731.36,9,5
108,SO-000108,20270903,66,15,5,1,4,67213.38,25066.69,19782.5,5284.19,2817.09,9,5
109,SO-000109,20260627,45,11,3,4,15,83452.46,27931.18,22004.48,5926.7,2334.5,9,8
110,SO-000110,20260326,89,3,1,6,9,95080.24,38662.96,23966.04,14696.92,6519.46,6,8
111,SO-000111,20240413,63,9,3,6,11,19385.95,3618.35,2784.71,833.64,881.51,4,6
112,SO-000112,20250422,60,15,5,9,11,24735.11,4644.69,3311.27,1333.42,169.71,7,6
113,SO-000113,20270111,96,3,1,9,9,77549.67,29980.17,21561.63,8418.54,2150.26,5,5
114,SO-000114,20270420,20,12,3,10,11,79952.13,14629.47,11312.82,3316.65,1053.79,9,8
115,SO-000115,20260902,38,15,5,7,15,2070.22,475.34,297.25,178.09,87.15,3,4
116,SO-000116,20260727,5,3,1,10,1,77912.7,23683.23,14726.49,8956.74,3925.54,5,3
117,SO-000117,20240530,68,6,2,9,3,6552.13,1924.33,1309.17,615.16,449.54,15,10
118,SO-000118,20270508,15,11,3,5,17,32550.13,6331.01,3958.39,2372.62,2032.16,12,8
119,SO-000119,20260530,15,11,3,5,15,29842.33,9002.4,6176.01,2826.39,2366.78,5,4
120,SO-000120,20260524,10,7,2,9,11,88865.06,24361.83,18648.59,5713.24,3543.32,7,4
121,SO-000121,20240623,21,9,3,1,3,66678.23,17489.05,11027.33,6461.72,6154.3,3,4
122,SO-000122,20271004,77,8,2,10,4,43471.71,16231.32,10948.5,5282.82,565.63,6,3
123,SO-000123,20270514,52,13,4,6,10,41375.46,17050.09,13439.32,3610.77,1749.92,5,3
124,SO-000124,20251218,92,8,2,1,18,35488.8,11476.21,7374.01,4102.2,2330.68,5,6
125,SO-000125,20240229,46,16,5,7,6,37072.32,14042.32,10037.73,4004.59,2992.56,5,3
126,SO-000126,20270305,26,12,3,10,13,27690.4,10486.99,8225.02,2261.97,972.0,5,5
127,SO-000127,20260509,19,4,1,6,15,7423.75,2763.79,2195.45,568.34,68.12,10,6
128,SO-000128,20241114,29,10,3,2,6,34419.15,8983.95,6686.93,2297.02,2673.8,2,4
129,SO-000129,20270528,43,13,4,5,15,75566.37,12463.07,7681.19,4781.88,3348.44,14,9
130,SO-000130,20271020,93,3,1,1,19,41711.28,8954.19,6290.04,2664.15,1439.76,6,4
131,SO-000131,20250222,60,15,5,9,10,48919.96,17128.82,10432.88,6695.94,1933.63,1,3
132,SO-000132,20261015,80,5,1,3,14,94559.75,35952.08,27065.88,8886.2,2737.0,2,4
133,SO-000133,20260324,29,10,3,2,2,17981.63,4748.27,3517.21,1231.06,899.55,7,8
134,SO-000134,20271224,96,3,1,9,14,43903.85,12641.07,7781.5,4859.57,1374.46,13,9
135,SO-000135,20240629,31,13,4,5,14,29306.76,7957.07,6311.87,1645.2,503.7,13,10
136,SO-000136,20251126,14,6,2,7,8,84526.19,18848.91,13529.26,5319.65,4428.86,11,9
137,SO-000137,20251220,72,1,1,10,5,33640.33,6742.86,4734.14,2008.72,383.59,9,6
138,SO-000138,20270710,54,16,5,2,16,24008.75,4656.1,2977.36,1678.74,1446.28,4,4
139,SO-000139,20241105,79,16,5,2,15,46663.33,14891.23,10660.54,4230.69,3178.4,11,8
140,SO-000140,20261105,42,2,1,6,3,7294.48,2061.88,1362.0,699.88,200.36,6,3
141,SO-000141,20270613,76,8,2,1,20,31385.58,8962.91,5479.73,3483.18,2610.33,3,4
142,SO-000142,20270316,100,16,5,4,7,50953.25,14715.99,10461.06,4254.93,4034.57,8,3
143,SO-000143,20240621,94,8,2,2,17,32491.91,9510.02,5992.95,3517.07,201.04,7,4
144,SO-000144,20260202,63,9,3,6,10,64789.65,10479.25,7770.62,2708.63,6420.56,8,5
145,SO-000145,20251106,82,6,2,5,4,39047.95,14929.57,10984.87,3944.7,204.48,7,8
146,SO-000146,20240615,46,16,5,7,19,56017.34,14898.89,9690.23,5208.66,4770.25,8,5
147,SO-000147,20270503,11,14,4,4,3,66529.4,28276.59,18720.41,9556.18,4364.69,9,9
148,SO-000148,20261107,97,8,2,5,12,31303.4,8232.91,6243.28,1989.63,2545.54,8,4
149,SO-000149,20250408,84,7,2,5,5,2313.94,561.5,443.72,117.78,79.07,11,10
150,SO-000150,20270619,56,5,1,3,5,15917.04,3800.0,2878.97,921.03,808.09,6,3
151,SO-000151,20240330,49,8,2,9,14,59926.02,11762.03,7482.64,4279.39,4151.95,10,5
152,SO-000152,20261229,58,3,1,7,8,36747.79,13445.12,10674.32,2770.8,2243.8,11,10
153,SO-000153,20260803,44,3,1,4,10,31292.06,12284.86,8523.27,3761.59,2613.24,13,8
154,SO-000154,20250527,73,11,3,8,2,77923.34,23444.95,16030.07,7414.88,1262.81,6,6
155,SO-000155,20240620,14,6,2,7,6,64297.31,26505.61,18843.05,7662.56,659.62,6,4
156,SO-000156,20251216,3,8,2,3,1,27642.73,11653.95,7335.81,4318.14,1209.29,11,6
157,SO-000157,20250404,45,11,3,4,1,41782.24,11236.76,7582.48,3654.28,1613.49,7,4
158,SO-000158,20240319,40,8,2,6,10,32209.15,5788.79,4300.73,1488.06,1079.94,5,5
159,SO-000159,20270614,56,5,1,3,1,91780.92,26775.84,20516.24,6259.6,6964.71,15,10
160,SO-000160,20250813,76,8,2,1,8,90632.82,14111.64,9075.63,5036.01,1355.14,8,9
161,SO-000161,20240815,27,7,2,2,16,30464.54,5006.08,3423.98,1582.1,2418.58,9,10
162,SO-000162,20260529,84,7,2,5,1,59875.53,9276.55,6522.11,2754.44,1448.62,7,5
163,SO-000163,20240518,41,2,1,4,17,61673.55,13701.97,9362.74,4339.23,4097.41,7,4
164,SO-000164,20270725,15,11,3,5,13,54636.16,21085.39,14791.92,6293.47,111.1,8,10
165,SO-000165,20270907,100,16,5,4,4,98113.42,22182.96,13381.84,8801.12,7736.44,9,8
166,SO-000166,20271103,70,7,2,3,15,77264.39,28630.79,19082.53,9548.26,342.56,8,8
167,SO-000167,20250823,88,8,2,4,7,98091.51,28795.68,18327.17,10468.51,1322.79,8,10
168,SO-000168,20250602,97,8,2,5,2,4858.72,1019.56,620.28,399.28,453.5,14,9
169,SO-000169,20240911,79,16,5,2,12,75452.45,15643.63,10503.05,5140.58,5891.64,10,8
170,SO-000170,20261013,13,9,3,1,16,43976.66,11873.99,8168.68,3705.31,4206.27,8,8
171,SO-000171,20260531,16,5,1,4,20,37051.02,14419.79,9421.09,4998.7,306.08,8,9
172,SO-000172,20250919,20,12,3,10,15,99512.27,20314.13,13382.0,6932.13,1020.98,10,8
173,SO-000173,20270613,73,11,3,8,14,60460.85,16798.13,12396.23,4401.9,2125.48,6,3
174,SO-000174,20261116,29,10,3,2,6,27818.26,12351.54,9752.54,2599.0,208.75,12,9
175,SO-000175,20240517,19,4,1,6,8,95302.54,18377.55,13259.67,5117.88,7446.1,3,3
176,SO-000176,20260129,13,9,3,1,12,77962.28,20262.28,13708.87,6553.41,4422.37,10,5
177,SO-000177,20250526,18,3,1,7,4,44671.96,7731.18,4851.62,2879.56,1639.24,10,8
178,SO-000178,20250617,53,8,2,3,15,3078.38,633.57,445.75,187.82,281.22,6,4
179,SO-000179,20241004,75,12,3,5,3,21849.76,7288.27,5384.55,1903.72,2181.98,5,6
180,SO-000180,20271224,82,6,2,5,3,45478.25,19082.84,13148.5,5934.34,399.26,11,8
181,SO-000181,20261107,77,8,2,10,8,55224.72,13094.26,8642.1,4452.16,869.82,8,5
182,SO-000182,20270208,99,5,1,10,19,12575.56,2644.57,1660.2,984.37,993.94,6,3
183,SO-000183,20250925,36,6,2,9,13,37206.66,14551.47,10336.34,4215.13,2276.86,3,4
184,SO-000184,20251011,2,9,3,4,3,99959.71,36551.36,25773.79,10777.57,7688.55,4,4
185,SO-000185,20260605,76,8,2,1,17,45272.46,16027.93,10721.13,5306.8,3974.74,5,5
186,SO-000186,20251022,21,9,3,1,8,91115.87,15182.08,9486.25,5695.83,1394.21,5,5
187,SO-000187,20270724,31,13,4,5,18,34929.3,15098.93,11761.84,3337.09,2954.79,8,7
188,SO-000188,20241216,20,12,3,10,20,27807.88,9385.35,6784.53,2600.82,259.8,5,5
189,SO-000189,20240403,56,5,1,3,19,72202.96,23938.29,18396.72,5541.57,4069.49,2,3
190,SO-000190,20270708,66,15,5,1,18,26833.26,5721.99,4087.95,1634.04,1658.59,8,3
191,SO-000191,20260717,91,8,2,10,3,29322.33,12813.71,8925.89,3887.82,2359.53,11,9
192,SO-000192,20251002,74,1,1,2,11,69017.05,13625.63,9308.0,4317.63,3205.44,8,8
193,SO-000193,20251015,29,10,3,2,8,73552.88,30026.73,23873.5,6153.23,961.82,7,8
194,SO-000194,20270614,6,14,4,1,14,46914.02,10801.55,7016.51,3785.04,454.18,11,7
195,SO-000195,20241122,61,9,3,9,16,25202.89,10322.91,6523.46,3799.45,825.23,9,8
196,SO-000196,20261101,18,3,1,7,15,99598.96,28888.13,22411.85,6476.28,4953.76,8,4
197,SO-000197,20250808,80,5,1,3,18,96685.32,20743.19,13909.95,6833.24,488.65,15,10
198,SO-000198,20260119,29,10,3,2,2,1313.65,239.41,150.06,89.35,34.74,12,8
199,SO-000199,20261029,88,8,2,4,15,40357.87,12958.29,8279.45,4678.84,2232.69,8,4
200,SO-000200,20240717,5,3,1,10,13,76558.21,17908.21,14287.49,3620.72,5209.01,4,4
201,SO-000201,20270518,9,1,1,9,17,37633.23,16785.79,11944.2,4841.59,1375.89,6,5
202,SO-000202,20241101,46,16,5,7,20,40438.01,6554.05,3983.44,2570.61,2885.62,15,10
203,SO-000203,20270430,17,11,3,2,11,89366.6,17152.52,13486.58,3665.94,2846.59,11,9
204,SO-000204,20260124,66,15,5,1,11,50977.84,15441.91,10777.98,4663.93,2869.67,8,10
205,SO-000205,20250627,27,7,2,2,19,67543.74,29987.35,21493.15,8494.2,5381.58,8,3
206,SO-000206,20271026,30,8,2,2,8,57974.62,21243.06,15225.0,6018.06,988.54,9,9
207,SO-000207,20241106,47,15,5,3,14,3641.27,1581.99,983.96,598.03,6.9,12,8
208,SO-000208,20261128,93,3,1,1,7,69204.78,18900.74,14269.95,4630.79,6370.44,3,3
209,SO-000209,20261227,97,8,2,5,11,56308.23,25306.99,17605.42,7701.57,2121.83,10,5
210,SO-000210,20250128,84,7,2,5,8,54854.19,19350.4,14968.13,4382.27,3734.18,12,7
211,SO-000211,20271114,60,15,5,9,16,28261.14,6769.95,5336.73,1433.22,2775.98,8,7
212,SO-000212,20240906,84,7,2,5,19,32045.55,8160.11,6419.89,1740.22,2548.92,9,7
213,SO-000213,20240327,77,8,2,10,10,67823.91,17899.29,14248.41,3650.88,5550.56,7,5
214,SO-000214,20250217,14,6,2,7,18,95553.71,16598.52,13026.55,3571.97,6268.06,11,10
215,SO-000215,20240413,28,2,1,4,17,27477.71,8754.55,5728.31,3026.24,300.13,7,6
216,SO-000216,20271027,43,13,4,5,5,22954.33,5046.53,3129.05,1917.48,758.17,9,10
217,SO-000217,20270825,25,10,3,10,7,1015.55,320.01,251.47,68.54,41.32,15,10
218,SO-000218,20261231,53,8,2,3,2,75713.15,17881.44,11749.59,6131.85,447.94,5,4
219,SO-000219,20261011,84,7,2,5,6,91366.36,18503.46,14366.99,4136.47,1606.12,7,3
220,SO-000220,20270309,31,13,4,5,20,93692.57,41097.25,32269.89,8827.36,8214.43,5,3
221,SO-000221,20261029,64,4,1,5,15,11176.42,4972.37,3266.41,1705.96,1105.46,10,10
222,SO-000222,20240129,20,12,3,10,11,27647.29,10855.55,7231.28,3624.27,2021.35,7,7
223,SO-000223,20261121,98,16,5,4,11,79181.38,25364.52,19060.33,6304.19,1389.59,13,9
224,SO-000224,20240114,81,16,5,9,9,9130.41,3202.74,2040.01,1162.73,128.38,9,8
225,SO-000225,20270831,39,9,3,9,12,38665.65,10981.84,7175.52,3806.32,1274.52,5,3
226,SO-000226,20271114,24,3,1,9,4,69430.47,11708.57,7301.99,4406.58,2130.17,11,9
227,SO-000227,20241109,71,12,3,3,15,64051.78,27682.58,18644.46,9038.12,1414.58,10,5
228,SO-000228,20250521,57,14,4,10,20,74899.62,24845.83,16973.9,7871.93,4113.75,11,10
229,SO-000229,20240506,42,2,1,6,18,87376.94,15252.61,10514.38,4738.23,6149.29,3,4
230,SO-000230,20271025,46,16,5,7,7,90337.37,19029.3,13460.03,5569.27,1486.39,9,10
231,SO-000231,20240927,43,13,4,5,17,71833.34,21309.24,16616.47,4692.77,3200.05,8,3
232,SO-000232,20260321,80,5,1,3,9,41834.75,13352.54,9503.8,3848.74,2814.51,5,7
233,SO-000233,20270113,83,14,4,4,2,81737.1,30548.53,21862.43,8686.1,370.19,7,8
234,SO-000234,20241004,57,14,4,10,14,93490.99,15959.45,12556.18,3403.27,296.69,9,9
235,SO-000235,20240613,59,13,4,10,18,37758.86,15760.55,10870.17,4890.38,3462.92,13,9
236,SO-000236,20250401,17,11,3,2,1,13732.49,5604.04,3495.39,2108.65,1363.43,9,9
237,SO-000237,20250415,54,16,5,2,8,75739.85,33594.2,23267.37,10326.83,5446.41,13,9
238,SO-000238,20270914,10,7,2,9,14,46332.22,9105.97,5806.84,3299.13,4055.03,2,4
239,SO-000239,20270501,69,4,1,5,2,61684.86,26578.24,20672.77,5905.47,1484.55,3,4
240,SO-000240,20260617,53,8,2,3,8,44920.89,15794.5,12231.93,3562.57,1099.37,7,3
241,SO-000241,20270325,89,3,1,6,11,54206.1,20398.61,15405.29,4993.32,759.62,8,7
242,SO-000242,20260426,81,16,5,9,10,57958.74,22126.41,16897.42,5228.99,1373.07,6,5
243,SO-000243,20270212,58,3,1,7,16,27877.82,8837.7,6348.42,2489.28,2049.61,9,5
244,SO-000244,20260416,60,15,5,9,5,5164.97,1308.41,953.39,355.02,196.87,12,8
245,SO-000245,20271220,59,13,4,10,5,30338.91,6224.44,4404.32,1820.12,731.07,8,6
246,SO-000246,20250512,25,10,3,10,9,80674.73,34240.16,24395.33,9844.83,7807.59,9,5
247,SO-000247,20240415,47,15,5,3,9,20732.0,7132.05,5594.7,1537.35,1756.28,5,4
248,SO-000248,20250303,4,4,1,9,11,38028.21,12606.0,7663.31,4942.69,276.79,11,6
249,SO-000249,20250511,7,1,1,2,20,30667.21,12962.98,8326.92,4636.06,582.75,9,4
250,SO-000250,20260812,69,4,1,5,18,70524.97,18970.48,12290.33,6680.15,2268.19,11,7
251,SO-000251,20260819,98,16,5,4,11,65047.77,15775.82,10600.23,5175.59,5742.49,9,10
252,SO-000252,20240203,16,5,1,4,9,91475.88,23894.55,16314.87,7579.68,5145.74,6,6
253,SO-000253,20250416,9,1,1,9,13,55554.5,18066.86,13441.79,4625.07,1639.93,9,6
254,SO-000254,20260927,62,1,1,2,16,57194.06,12795.4,9086.38,3709.02,5396.06,10,8
255,SO-000255,20270115,46,16,5,7,2,46352.49,17142.62,11493.02,5649.6,648.74,10,10
256,SO-000256,20260424,7,1,1,2,5,52632.47,21143.54,13000.45,8143.09,4305.31,1,3
257,SO-000257,20240503,64,4,1,5,20,84333.2,18505.24,13720.41,4784.83,77.09,13,10
258,SO-000258,20261225,32,15,5,6,18,63953.99,27511.16,21528.87,5982.29,4216.39,1,3
259,SO-000259,20261025,14,6,2,7,14,41428.18,6422.11,4780.87,1641.24,2219.47,5,7
260,SO-000260,20250128,35,9,3,2,20,80713.69,34136.4,21212.47,12923.93,777.38,6,5
261,SO-000261,20260729,38,15,5,7,19,52882.37,20865.5,13634.87,7230.63,2098.88,12,8
262,SO-000262,20240710,90,1,1,10,13,24699.19,8871.23,5854.97,3016.26,2045.25,2,4
263,SO-000263,20261020,52,13,4,6,14,38236.77,12075.57,7380.87,4694.7,36.13,4,5
264,SO-000264,20250308,92,8,2,1,19,64668.27,16127.05,12828.52,3298.53,6297.65,4,3
265,SO-000265,20251006,45,11,3,4,1,47812.28,7839.71,4820.4,3019.31,4425.43,3,3
266,SO-000266,20250904,10,7,2,9,6,96166.18,31360.83,23534.76,7826.07,6853.87,8,9
267,SO-000267,20241013,22,15,5,9,3,56613.84,18116.93,13948.02,4168.91,3832.95,12,8
268,SO-000268,20270524,5,3,1,10,20,50328.89,22260.32,13595.25,8665.07,2199.82,7,4
269,SO-000269,20261001,15,11,3,5,8,95508.41,25692.8,19390.64,6302.16,282.95,12,7
270,SO-000270,20270620,46,16,5,7,10,35903.21,15522.5,10654.17,4868.33,2440.32,8,9
271,SO-000271,20251010,100,16,5,4,12,79906.49,29080.57,17925.48,11155.09,1232.33,9,5
272,SO-000272,20240928,63,9,3,6,3,11101.82,1682.58,1113.28,569.3,399.57,6,7
